text,label
प्रधानमंत्री ने आज नई योजना की घोषणा की।,1
भारत ने चाँद पर जीवन खोज लिया है।,0
दिल्ली में प्रदूषण का स्तर खतरनाक हो गया है।,1
सरकार ने सभी टैक्स हटा दिए हैं।,0
वैज्ञानिकों ने नई वैक्सीन बनाई है।,1
कल मुंबई में सुनामी आने वाली है।,0
किसानों के लिए नई सब्सिडी योजना लागू होगी।,1
चाँद पर ताजमहल बनने जा रहा है।,0
देश में शिक्षा नीति में बड़े बदलाव किए गए।,1
दिल्ली मेट्रो मुफ्त कर दी गई है।,0
भारत की अर्थव्यवस्था तेज़ी से बढ़ रही है।,1
कल आसमान से सोना बरसा।,0
सरकार ने बिजली दरों में कटौती की।,1
पृथ्वी गोल नहीं चौकोर है।,0
रेलवे ने नई तेज़ ट्रेन शुरू की।,1
कुत्ते अब इंसानों से बात कर सकते हैं।,0
दिल्ली में पानी की समस्या हल हो गई है।,1
मंगल ग्रह पर भारतीय शहर बस गया है।,0
नई तकनीक से इंटरनेट की स्पीड बढ़ी।,1
कल सूरज पश्चिम से उगा।,0
